	Text
4242	با سلام.
729	البته در سری سال 2012 که شامل 6 دوربین A2300, A2400, A3400, A400, A810 و A1300 می‌شوند؛ پیشرفت های خیلی خوبی صورت گرفته تا ارزش بالایی در برابر قیمت خود داشته باشند.
719	بر خلاف Windows،  برنامه های سیستم عامل OS X باید برای این رزلوشن بالا طراحی شوند در غیر این صورت اصلا ظاهر خوبی نخواهند داشت.
2157	اما هرچند که رزولوشن سنسور تصویر مقداری بالاتر است،  ولی HX200v لنزی کاملا مشابه با لنز HX100v دارد.
5357	از خوبيش هرچي بگم کمه.
3661	تجربه من به شما براي انتخاب گوشي : هيچ وقت سرعت پردازنده گوشي رو فداي هيچ چيز ديگه اي نکنين
4633	اصلا نخواستيد،  بريد تو گوگل Sample Photo هاي دوربين هاي مختلف رو با هم مقايسه کنيد..
4294	"درود بر همه دوستان
اگر به دنبال يک تبلت با ظاهر و کارايي بي نظير هستيد و عجله نداريد صبر کنيد تا مدل 
Samsung Galaxy Note 10.1 N8000
به بازار ايران عرضه بشه تا مشخص کننده قدرت و کارايي و ظاهر در کنارهم براي کاربراي مثل من و شما باشه
"
7048	• NTSC-J ـ اين منطقه فقط به کشورهاي ژاپن و کره مربوط مي‌باشد.
3549	من اين گوشي و تازه از ديجي کالا گرفتم و خيلي راضيم اندرويد 4.1 و سي پي يو اي که نه انقدر کمه که گوشي هنگ کنه ونه انقدر زياده که باتري بخوره.
6432	در کل نه گزينه خيلي تاپي هست نه بد چون من ايپد داشتم ميشه گفت امکانات سامسونگ به بعضي از ضعف هاش مثل باطري ،  دوربين ،  وايرلس شايد بيارزه چون هم قيمت کمتري داره هم امکانات بيشتري.
3282	"سلام دوستان من  2روز پيش خريدمش
اندرويد 4.0.4 صفحه عالي طراحي عالي خوشدست اما صفحه ي بزرگ
 تو نمايشگاه بازار موبايل اصفهان کنار z مقايسش کردم صفحش يکم فرق داشت اما رنگاي يون بهتر بود
در ضمن همونوقت هم 4 گيگ نرم افزار ريختم روش همش اچ دي با چند تا فيلم فول اچ دي اصلا هنگ نميکنه
شک نکنيد عاليه"
6296	که اين روشنايي به دليل وجود پنل Super IPS + و تکنولوزي IGZO است.
7267	جمع بندي :مزايا :1- LCD بسيار جذاب و کاملاً متفاوت 5 اينچي 4:32- کيفيت دوربين بسيار عالي در شرايط نور طبيعي 3- زيبايي ساخت فوق‌العاده 4- سخت‌افزار بسيار عالي 5- قيمت بسيار مناسب در مقايسه با رقبا معايب :1- نداشتن شيار مخصوص قلم که يک ضعف بسيار بزرگه 2- نداشتن کليد ميانبر سيستم عاملي جهت استفاده قلم براي کليد هاي Back , Home و غيره.
1310	به خصوص اینکه اگر پیش از این از DSLR ها استفاده کرده باشید این موضوع را متوجه خواهید شد و این به دلیل بهره گیری این دوربین از سیستم فوکوس خودکار Contrast Detection به جای Phase Detection دوربین های DSLR است.
2100	برنامه‌های کاربردی برای سرگرمی کودکان - Kids سامسونگ سرگرمی‌های خانگی را با برنامه‌های سرگرم کننده و مفید آموزشی ترکیب می‌کند.
1838	رزولوشن فکس در این دستگاه برای حالت سیاه و سفید 300 × 300 dpi و برای حالت رنگی 200 × 200 dpi می‌باشد.
3425	هم از لحاظ طراحي وهم از لحاظ سخت افزاري و نرم افزاري عاليه 
1331	آیا هیجان و ماجراجویی مرزی مشخص دارد؟
5341	در آخر بايد بگم Samsung Galexy S II يک گوشي ماندگار و قدرتمند هست و يکي از بهترين گوشي‌هاي اندرويد حال حاضر موجود در بازار.
1748	در قسمت بالایی گوشی جک 3.5 میلی متری هدفون به همراه کلید پاور قرار داده شده است.
393	نخستین تغییر را می توان مقداری در ظاهر و ابعاد مشاهده کرد که به نظر ما خوب بوده و اکنون P520 دوربین خوش‌دست‌تری شده،  دوم اینکه اکنون P520 دارای نمایشگر چرخنده‌ی کارآمدتری است که می تواند به هر سو چرخش کند.
5108	گوشي واقعاً استثنايي هستش.
197	دو کلید هم به صورت مجزا در پایین تاچ پد قرار دارند و بسیار خوب ساخته شده‌اند.
7345	فقط کافيه که يه سرعت 256 داشته باشين تا بتونين به جمعيت جهاني وصل بشين و با اين کار تازه دنياي xbox واستون باز ميشه.
4029	سلام .
2768	دوربین خود با تشخیص نوع صحنه،  شرایط نوری و دیگر پارامترها،  تنظیمات را بر روی بهترین حالت قرار قرار می‌دهد تا بهترین عکس‌ها گرفته شود.
5283	يه سر و گردن از htc sensation بالاتره و اصلا قابل مقايسه نيستن.
2410	سیستم عامل سیستم عامل تبلت GSP-X7 اندروید است.
6641	2- قاب آن از لحاظ استحکام کمي ضعيف است.
4728	معايب!
6392	بزرگترين عيبي که من پس از خريد اين تبلت با آن مواجه شدم عدم مقاومت صفحه نمايش در برابر خش است.
216	هرچند که ابعاد آن کمی بزرگ‌تر از Ixus 510 HS است ولی وزنی کمتر دارد.
716	تمام نرم افزارهای اولیه مانند Safari،  ایمیل،  و غیره برای دقت این صفحه نمایش طراحی شده‌اند.
712	به علاوه از آنجایی که این حافظه‌ها از نوع Flash هستند،  بر خلاف هاردهای معمولی بر اثر لرزش و ضربه های کوچک ایجاد شده بر اثر مصارف روزمره،  دچار آسیب نمی‌شوند.
5614	اگر بخوام اين هارد رو با محصولات و برندهاي ديگه مقايسه کنم بدون شک اين محصول رو در رده اول قرار ميدم.
7131	xbox 360 core system قابل خريداري در تاريخ 22 نوامبر 2005 بدون فضاي ذخيره سازي بصورت هارد ديسک همراه دستگاه سفيد رنگ با ديسک درايو سفيد.
2096	* عملکرد واقعی ممکن است بسته به زبانی که بدان صحبت می‌شود متفاوت باشد* برای بهره‌مندی از برخی قابلیت‌ها و ویژگی‌های تعامل هوشمند ممکن است نیاز به دسترسی اینترنتی باشد.
1911	• طراحی و ساخت بدنه خارجی E1-531 کاملا از پلاستیک براق مشکی ساخته شده ولی هنگامی که دستگاه را باز می‌کنید،  با ترکیبی از رنگ‌های نقره ای و مشکی مواجه خواهید شد به طوری که استراحتگاه مچ دست کاملا نقره ای بوده ولی کیبورد و قسمت‌های بالاتر،  مشکی و مات هستند.
1073	این دوربین فیلم برداری به راحتی تقریبا در هر مکانی نصب شود تا لحظات پر هیجان ورزشی از زاویه ی دید ورزشکار ثبت شوند.
4478	با سخت افزار بالا واقعا يه گوشي عالي محسوب ميشه و ميتونه مشتري را راضي کنه.
6672	مشکلش اينه که زود شارژش تموم ميشه ولي بقيه امکاناتش خيلي عالي هست و  قيمتشم مناسبه.
3513	اميدوارم که هر چه زودتر بياد.
2393	این اسپیکرها به راحتی می‌توانند صدایی با کیفیت تر و بلندتر از متوسط نوت‌بوک‌ها‌ی همرده تولید کنند.
1694	مزیت این نوع پردازنده‌ها بیشتر در مصرف انرژی بسیار پایین‌تر و ارائه‌ی قابلیت‌های عالی در مالتی تسکینگ یا انجام چند وظیفه به صورت همزمان است.
5998	1- وزن 2.02 کيلويي اين مدل در اين سايز بسيار مناسب و سبک محصوب مي شود،  اين در حالي است که اغلب مدل هاي موجود در بازار وزن سيستم خود را بدون احتساب باتري اعلام ميکنند.
3698	به نظر من بهترين گوشي دنيا هست
5606	به صرفه نيست و تنوع رنگ هم نداره.
4904	به نظر من تنها عيبي که به اين گوشي ميشه گرفت صفحه نمايش کمي کوچيک اون هست که البته براي همه مشکل ساز نيست.
5088	بهتر از اين نميتونيد پيدا کنيد
1101	این یک رکورد شگفت انگیز است.
1270	بعلاوه این دوربین کاملا و به صورت تمام عیار برای کاربران حرفه ای ساخته شده است.
6718	دوربين عالي .
6471	باتري مناسب و خوب براي تبلت 12.
3385	در کل يه محصول ايده آل و خاص براي افراد خاص مي باشد که تا مدت ها شما رو از داشتن يه گوشي هوشمند و پر قدرت بي نياز مي کنه.
4701	باتريش هم خوبه.
6931	حافظه ي داخلي ۳۶۰ چيزي در حدود ۲۵۶ مگابايت براي سيو بازي ها و ديگر چيز هاست براي افزايش حافظه چند انتخاب وجود دارد: در بالا دستگاه جاي گذاشتن درايو هارد کنسول است که بر خلاف PS3 که هارد معمول ۳.
292	در ضمن،  برنامه نقشه‌ها و مکان یابی نوکیا یعنی Here نیز همراه با Nokia Drive بر روی این گوشی قرار داده شده است.
2511	همچنین 4 میانبر قابل تغییر نیز وجود دارند که می‌توان آن‌ها را به هر برنامه ای تخصیص داد.
2081	در تست های انجام شده این سیستم به خوبی می تواند تا 85 درصد لرزش دست شما را جبران کند و در سطح بهترین دوربین ها چون Panasonic X900M قرار گیرد.
3884	اين 5 هم زياد تفاوت نداره با نسل قبلش!
3881	خدا رحمت کنه استيو جابز رو.
897	بالاخره پس از سال‌ها اپل درگاه انحصاری خود را کنار گذاشت و یک درگاه جدید کوچک‌تر و البته سریع‌تر برای تبادل اطلاعات با نام درگاه رعد رونمایی نمود.
1503	اما نکته‌ی ویژه‌ی دیگر این دوربین، به جز نمایشگر دوم که البته فعلا نمی‌دانیم چه رزولوشنی را ارائه می‌دهد،  رادیو Wi-Fi داخلی است.
1134	به خصوص ورزش های پر مخاطره مثل قایق سواری آب های خروشان،  اسکی،  کایت سواری،  اسکی روی آب،  پاراگلایدر و حتی موتور،  ماشین سواری و یا پرش با بانجی!
5885	متاسفانه يکي از برند هاي معروف جهان که نوکيا بود در حال سقوط است.
968	یکی از تغییرات مهم در این نسخه،  قرار گرفتن برنامه Maps به جای برنامه Google Maps می‌باشد.
6507	اين مدل سامسونگ واقعاً جالبه و من ميتونم بگم به قول دوست عزيزمون آينده از آن سامسونگه و بهترين نمونه هاي ديجيتالي و مناسب‌ترين از لحاظ قيمت را ميشه تو محصولات سامسونگ جستجو کرد در حالي که ديگر مارکها به دنبال سود بيشتر و کيفيت کمتر هستند ولي سامسونگ بر عکس کيفيت بهتر و قيمت مناسب‌تر دارد سامسونگ در نمونه هاي فراوان از محصولات ديجيتالي که دارد مي تواند دامنه گسترده اي از خدمات را ارانته کند و اين خود تبليغاتي است براي آينده سامسونگ اين تلويزيون در مقايسه با مارک هاي مطرح مثل سوني قابليت‌هاي فراواني دارد در عين حال قيمت مناسبتري دارد ما به جاي اينکه هزينه بالايي براي تلويزيون سوني بدهيم مي توانيم با هزينه اي کمتر يک تلويزيون سامسونگ بخريم در حالي که امکانات فراواني دارد در عين حال که مزاياي اين تلويزيون ها را به خاطر مي آوريم نبايد فراموش کنيم که خدمات پس از فروش سامسونگ در ايران به خاطر دامنه سفارشات و تعدد نمايندگي ها ضعيف عمل مي کند
1612	با اینکه این میزان از آی پد نسل سوم کمتر است،  ولی شارژ دهی خیلی خوبیست و از متوسط تبلت های بازار،  بالاتر است.
7235	اما تنها ايرادي که به اين تبلت وارد است مربوط به گوگل مي شود که به بهانه دلايل امنيتي طوري سيستم عامل اين تبلت را طراحي کرده است که در کشور ما با گذاشتن سيم کارت به منظور استفاده از 3g واي فاي قطع مي شود و تا زماني که باز يابي کارخانه نکنيد واي فاي آن وصل نمي شود.
981	از اضافه شدن قابلیت پانوراما به دوربین تا امکان تعیین زنگ هشدار SMS برای هر کدام از مخاطب‌ها.
373	لنزی که بر روی P520 استفاده شده دقیقا همانی است که بر روی مدل پیشین هم وجود داشت.
2508	با وجود این سخت‌افزار قدرتمند و البته نسخه 4 سیستم عامل اندروید، می‌توان گفت که تقریبا همگی برنامه های موجود برای اندروید را می‌توان به راحتی بر روی Optimus VU نصب و اجرا نمود.
6317	طراحي خوب بدنه دوربين موقع دست گرفتن دوربين واقعا حس خوبي به ادم ميده روي هم رفته نسبت به قيمتش خيلي عاليه نقطه ضعفش فقط اينه که مقدار باتري رو نشون نميده فقط وقتي باطري خالي ميشه آلارم ميده و اينکه بايد هميشه نسبت به محيط روشن يا تاريک تنظيماتش رو عوض کني.
4823	اگه يه پخش کننده موسيقي همه کاره مي خواهيد و هزينه ان را داريد .
6877	جاي دو تاي آخري مناسب نيست چون ال سي دي که کابل ها به آن وصل شوند مناسب نيست و حرکت و فيلم گرفتن در موقع اتصال به تلويزيون را کمي سخت ميکند.
5181	به نظر من  اين فبلت بعد از ال جي نکسوس بهترين گوشي سال ال جي خواهد بود
5665	ممنون DigiKala .
5576	اين گوشه هاي جديد سامسونگ همش شبيه همه!
2594	رزولوشن اپتیکال این اسکنر،  1200X1200dpi و نسبتا کم می‌باشد.
7190	يعني در حدود گيمهاي معمولي ايکس باکس!
2188	این بسیار خوب است هرچند که ترجیح می‌دادیم به طرفین هم چرخش می‌کرد.
3747	سيستم عاملي که واقعا کار باهاش لذت بخش است.
5074	با سلام بي نظيره دو ماه  باهاش کار کردم از نظر من تنها عيبش نداشتن شيار کارت حافظه است و بس.
6214	پس گوشي هاي سامسونگ از دور رقابت خارج ميشن.
1019	به نظر می‌رسد در این مدل با توجه به ارتقای سخت افزاری آن،  همه چیز سریع‌تر و بهتر نیز انجام گردد.
4073	هيچ کدوم به پاي سيستم عامل آيفون هم نمي رسد چه برسد به پاي صنعت استفاده شده در اين گوشي .
3192	لب تابهاي کلاس پروبوک  اچ پي واقعا زيباست مخصوصا 4530s البته نسبت به قيمتي که دارن.
5634	موردي که بايد در مورد هاردها دقت کنيم استفاده درست از کابل اينگونه هاردهاست .
4561	سامسونگ يعني آينده در حال
48	M1132 نیز پرینتری است که به نظر یکی از بهترین‌ها برای ایفای این نقش می‌باشد.
4703	(واقعا چيزي ديده نميشه!
1796	قطع به یقین تا به حال مدل‌های مختلف این دستگاه‌ها را دیده‌اید و یا حتی با آن‌ها کار کرده‌اید.
6181	از اين يکه تازي مدتيست که خبري نيست.
2463	ضمنا،  با امکان نصب برنامه های مختلف مانند Adobe Reader،  می توان فایل های متنی و PDF را نیز به راحتی بر روی این تبلت اجرا نمود.
1905	از لحاظ نرم افزاری هم این گوشی به آخرین نسخه سیستم عامل اندروید یعنی اندروید 4.1.1 به همراه رابط کاربری TouchWiz مجهز است که تغییرات بسیار زیاد و عالی نسبت به نسخه استاندارد اندروید 4.0.4 دارد.
2313	به همین دلیل تجربه اینترنتی این تبلت با یک کامپیوتر رو-میزی برابر است.
6785	چون بعضي ها ترجيح ميدن که يک گوشي بخرند که راحت تو جيبشون جا بشه و بتونن هرجايي ببرنش و از سوي ديگه اختلاف قيمت زيادي بين اين دو مدل است .
3678	به نظر من ايفون 5 با تمامي گوشي ها متفاوت است و اين تفاوت بي نظيريه!
7093	از مزيت‌هاي اين درايو نسبت به دو مدل ديگر مي‌توان به صداي نسبتا کمتر و کيفيت بهتر ساخت اشاره کرد؛ اما دو مدل قبلي يعني Samsung / Toshiba و LG / Hitachi در کل کيفيت ساخت يکساني دارند.
5383	ولي سري G که گرفتم اصلا تا حالا داغ نکرده..
6860	نسبتا سنگين و بزرگ .
5761	در کل ميشه گفت لپ تاپي خوب و با طراحي بي نظير .
916	چه از لحاظ تراکم پیکسلی،  چه از لحاظ وضوح رنگ‌ها و روشنایی و چه از لحاظ کنتراست.
1387	به هر صورت از آن جایی که کاربری این دوربین به صورت ثابت بر روی بدن و یا تجهیزات ورزشکار و در صحنه های مخاطره انگیز است،  سازنده دلیل خاصی را برای قرار دادن کنترل های دستی بر روی آن ندیده.
1812	مات بودن رنگ این دستگاه باعث می‌شود که هنگام کار با آن اثر انگشتتان رویش نماند و گرد و خاک بر رویش مشاهده نشود.
1014	زاویه دید صفحه One X Plus نیز بسیار بالاست بطوریکه می‌توان گفت حتی از زاویه دید 178 درجه‌ای،  هیچ‌گونه کاهش کیفیتی را مشاهده نخواهیم کرد.
724	از تنها نقاط ضعف جزئی این دستگاه می‌توان به عدم وجود درایو نوری و پورت شبکه اشاره کرد.
7085	هکر‌ها با ايجاد تغييرات در اين ميان‌افزارها توانسته‌اند درايو کنسول XBOX360 را کپي ‌خور کنند تا ديسک‌هاي کپي را اجرا نمايد.
1322	سرعت عکاسی پیاپی هم با 6 فریم بر ثانیه تا 40 عکس JPEG و 10 عکس RAW خیلی عالیست و بیشتر از دوربین های DSLR سطح مبتدی است.
1306	البته از تنظیمات داخل دوربین هم می توان این کار را انجام داد.
3396	درسته منو فارسي نداره ولي حداقل ميتونين مطمئن باشين که يه دوربين ساخت ژاپن خريدين نه ساخت چين.
1117	فقط در مورد نورسنجی می توانید انتخاب هایی چون میانگین گیری،  نقطه ای یا دیگر آپشن ها را داشته باشید.
4428	من قبلا موتورولا ريزر مکس داشتم الان هم پراداي ال جي دارم.
1863	در سمت چپ گوشی کلیدهای کم و زیاد کردن صدا و در سمت راست آن کلید پاور قرار دارد.
2056	بعلاوه میدان دید این لنز در حالت واید بسیار گسترده است و کمینه ی فاصله ی کانونی معادل 26 میلی متر را ارائه می دهد که این عالیست.
931	بنابراین برای یافتن مشخصات سخت افزاری محصولات این کمپانی،  شرکت‌های مختلف بر روی آن‌ها تحقیق و آزمایش‌های مختلفی را انجام می‌دهند.
4725	"توضيح در مورد اين گوشي 
مزايا 
سي پي يو قوي 
اسکرين با رزولوشن بالا 
اندرويد 4.1
جي پي اس سريع (واقعا تعجب کردم وقتي ديدم با چه سرعتي مکانو نشون داد !"
6380	تنها ايرادي که به اين تبلت وارد است نبود قابليت نصب سيم کارت است ولي به نظر مي رسد که اين ايراد با تعريف کاربريه تبلت و گوشي همراه از بين خواهد رفت!
2381	با این حال اگر از باتری 8 سلولی بر روی آن استفاده شده بود،  باز هم شارژدهی بیشتری را از آن شاهد بودیم.
3459	خيلي عالي هست.
1924	در بالای صفحه نمایش یک وب کم نیز برای انجام مکالمات اینترنتی،  تعبیه شده است.
2543	همین چند ماه پیش بود که سونی،  یک گوشی به نام Xperia Tipo را معرفی کرد،  آن زمان Tipo را یک گوشی اندرویدی سطح مبتدی برای کاربرانی معرفی کردیم که قصد دارند یک گوشی نسبتا جمع و جور با قیمت ارزان داشته باشند.
2454	این تبلت مجهز به چیپ NFC نیز می‌باشد و می‌تواند از طریق Android Beam با سایر دستگاه های مجهز به این فناوری تبادل اطلاعات داشته باشد.
5232	"من الان يه ماهي دارمش ازش خيلي راضيم عاليه 
فقط اگه يه مقدار دوربينش عالي بود بهتر مي شد 
"
5690	سلام دوستان من اين تبلتو يک هفته اي هست که از ديجي کالا خريدم اولا بايد تشکر ويژه اي داشته باشم از اين مرکز خريد بعدشم بايد در مورد اين تبلت بگم که معرکه هست عاليه
5994	براي ريختن آهنگ به دستگاه يه برنامه داره که خيلي راحت نصب ميشه آهنگاي مورد علاقتونو اونجا انتخاب ميکنين و به محظ اينکه دستگاه به رايانه وصل ميکنيد خودکار شروع به انتقال ميکنه خيلي برنامه جالبيه.
6559	نکته جالب در مورد اين گوشي اينه که سوراخي براي ورودي صداي شما در حين مکالمه (ميکروفن) قابل مشاهده نيست بلکه ميکروفن گوشي در بين صفحه کليد آن پنهان و مخفي است.
3334	گوشي خوبي نسبت به قيمتش.
302	این گوشی،  با سخت افزار مناسب،  صفحه نمایش بسیار خوب و طراحی زیبای خود،  هر کاربر علاقمند به سیستم عامل ویندوز فون را وسوسه می‌نماید که یکی از آن خریداری کند.
3724	يه گوشيه تمام عيار
4802	با سلام.
4998	سلام دوستان عزيزم!
713	باتری با وجود تمام سخت افزارهای فوق‌العاده به کار رفته شده در Retina MacBook Pro،  انتظار می‌رفت که باتری آن نتواند شارژ دهی خیلی بالایی داشته باشد ولی در عمل خلاف این امر ثابت شد.
3800	يه LG optimus 4x hd p880 درست يک سوم اين آيفون 5 قيمتشه.
6671	قيمت عالي براي اين سطح امکانات لذت اسمارت فون رو درک ميکنيد
731	در ادامه بیشتر توضیح می‌دهیم.
2378	N43SM در کانفیگ‌هایی با ظرفیت‌ها‌ی هارد دیسک مختلف نیز ساخته شده است و از حافظه‌ها‌ی SSD نیز پشتیبانی می‌کند.
6136	با سلام اگه يه نگاهي به قيمت اين گوشي بندازين ميبينين که در مقايسه با  با گوشي هايي مانند s3 و.
2416	اتصالات خروجی ،  ورودی میکروفون،  پورت قابلیت اتصال صفحه کلید و ماوس USB-OTG و Mini USB و ورودی کارت حافظه Micro SDقابلیت اتصال به دستگاه تلفن همراه،  کامپیوتر،  هارد و..
3727	بهترين گوشي بازاره!
4442	بعدشم همه ميدونن که htc تو دوربين و صدا کم نمي ذاره يکي از نمونه هاش هم همين گوشي که بهترين دوربين جلو رو در بين گوشيها داره که با کيفيت Full HD فيلمبرداري ميکنه،  در مورد صدا هم که اسم Beats Audio همه چيز رو ميگه.
544	در مورد نمایشگر هم بگوییم که دقیقا همان نمایشگری است که بر روی FT1 هم دیده بودیم و نه سایز و نه کیفیت آن ارتقائی نداشته.
5342	با سپاس.
7064	"براي NTSC-J نوشته شده: Only For Japan
• سري‌هاي اوليه XBOX360 هاي مدل Premium ورژن ژاپن (NTSC-J) داراي دو وسيله‌ي اضافي مي‌باشند
سوال: منظور از ريجن ـ فري(Region-Free) چيست؟"
5816	ولي چون دکمه ها يکم نزديک lcd هستند و اکثرا افراد يکم پايين تر رو لمس ميکنند براي همين فکر ميکنند که دکمه ها ضعيفند !
6339	(Multitasking) باز ميزاره علاوه بر اينکه در بهبود عملکرد کلي سيستم هم نقش بسزايي داره.
2222	فیلم برداری دوربین Asha 302  با کیفیت QVGA و سرعت 15 فریم بر ثانیه صورت می‌پذیرد که چندان قابل تعریف نیست.
1594	Infinity در دو مدل 32 و 64 گیگابایتی عرضه شده است و امکان ارتقا حافظه آن از طریق درگاه کارت حافظه microSD تا 32 گیگابایت دیگر نیز وجود دارد.
5942	عکس ها و آهنگ هاتون رو استريم کنيد روي تلويزيون بدون نياز به اينکه فايل هاتون رو بريزيد روي فلش مستقيم از روي سيستم تون ميخونه البته يکم افت کيفيت داره ولي به نظرم عاليه اين امکان چون واقعا سخته آدم بخواد فلش رو خالي و پر کنه3.
5420	البته Sony Cyber-Shot DSC-HX10V موقعيت ياب و GPS هم داره که زياد کاربردي نيست .
3106	S می‌باشد که از تاثیر زیاد اثر لرزش دست شما در فیلمی که می‌گیرید جلوگیری می‌کند.
1176	نوت بوک ها و تبلت های ایسوس به داشتن بلندگوهای با کیفیت و قدرتمند شهرت داشته‌اند و PadFone 2 نیز از این قاعده مستثنی نیست.
3453	)که اگه چند ساعت با گوشي کار کنيد متوجه ميشيد که خيلي راحت ميشه از مشکلش چشم پوشي کرد.
2231	طول آن بیشتر از مدل سال گذشته بوده و به 123 میلی‌متر می‌رسد،  اما عرض آن همچنان ثابت می‌باشد.
349	همچنین برنامه های متنوعی از قبل بر روی این گوشی نصب شده‌اند که از جمله آن‌ها می‌توان به برنامه نقشه گوگل،  Dropbox،  ایمیل،  نمایشگر فایل‌های آفیس و .
4629	الان هم ازش راضيم کيفيت عکساش خيلي خوبه ولي به نظرم اينکه يه حداقل دانشي از اصول عکاسي داشته باشي خيلي کمک ميکنه که عکساي با کيفيت و زيبايي بتوني بگيري .
1200	بدین ترتیب که هیچ گاه و حتی در زمان استفاده زیاد و استرس شدید بر روی لپ‌تاپ،  دمای قسمت استراحت مچ و صفحه کلید بالا نمی‌رود و همواره کاملا خنک است.
206	در حالت عادی،  دمای تمام قسمت‌های بدنه نوت‌بوک،  بسیار پایین است اما هنگامی که دستگاه در حال انجام محاسبات سنگین باشد،  دمای بعضی از قسمت‌ها مانند سمت چپ کیبورد،  بسیار گرم می‌شود و ممکن است در دراز مدت کمی آزاردهنده باشد.
5216	تبلت بسيار خوبيه .
3611	دوربين بسيار شيک و جمع و جور و سبکي هست..
8	وزن این دستگاه تنها 2.3 کیلوگرم است که برای یک لپ‌تاپ 15.6 اینچی،  وزن بسیار مناسبی محسوب می‌شود.
5396	سلام خدمت همه عزيزان.
456	از کنترل چرخنده ی جلوی دوربین هم دیگر خبری نیست.
2951	در قلب Galaxy S II یک پردازنده‌ی بسیار قدرتمند دو هسته ای با سرعت 1.2 گیگاهرتز قرار گرفته که در زمان ورود Galaxy S II به بازار در سال 2011 فوق‌العاده بود،  اما در حال حاضر و در بین دنیای چهار هسته ایها حرف خاصی برای گفتن ندارد.
3335	منم يه ماهه خريدمش.
6935	دو پورت USB .
5023	تو مجبوري انتخاب کني!
4413	اين سنسور تقريبا ۱۹.
2625	متاسفانه عکس‌های گرفته شده با دوربین این تبلت از کیفیت رضایت بخشی برخوردار نیستند.
4702	از معايبش، صداي کم بلندگوي خارجي و کيفيت پايين صفحه نمايش زير نور آفتابه.
3638	خيلي عاليه.
4251	ميدهد.
6387	از عکسهاي کتاب هاي ديگر توي نرم افزار آفيس اون استفاده کرد ،  همزمان جزوه نويسي کرد و مطالب رو بصورت مولتي مديا به اشتراک گذاشت.
7157	• کارت حافظه ـ وجود يک کارت حافظه‌ي ۶۴ مگابايتي،  امکان انتقال ذخيره‌ي بازي را به کاربر مي‌دهد.
617	البته لازم به ذکر است که کیفیت مکالمه با قلم به خوبی کیفیت مکالمه با گوشی نیست،  اما در چنین شرایطی مسلما بسیار کاربردی و رضایت بخش خواهد بود.
2324	با این تراکم پیکسلی بالا،  تصاویر تولید شده توسط صفحه نمایش ray از دقت بسیار بالایی برخوردار خواهند بود.
820	البته تراکم پیکسلی 189ppi آن در مقایسه با تبلت های برتر دنیا مقداری پایین‌تر است و جزو بهترین‌ها نیست.
4216	سلام من همين امروز بدستم رسيد.
730	اینک قصد داریم که به معرفی مدل A3400 IS از این سری بپردازیم که با سنسور تصویر 16 مگاپیکسلی،  لنز با توانایی زوم 5 برابر،  نمایشگر 3 اینچی لمسی و توانایی ضبط ویدیویی 720p HD،  تنها دوربین با نمایشگر لمسی در بین برادران خود می‌باشد.
4873	"راستش من يه 42 اش رو دارم ازش راضي‌ام
اما به قول دوستمون مصرفش بالاست يه کم
و صد البته گرماي روي سطح تلويزيون و پشتش هم زياده بطوريکه در ايام تابستان اگه کولر نباشه و زمستان که بخاري روشنه اين گرما زياد احساس ميشه
ولي کيفيت تصويرش به نظر من خيلي خوبه"
2728	عمل Pinch too Zoom که با دو انگشت صورت می‌گیرد،  کاملاً بدون خطاست.
3463	دو سيمکارت،  دو هسته اي،  صفحه نمايش 4.3.
5650	زيبا و شيک.
4758	"من اين گوشي رو يک هفته است گرفتم محشره
صفحه بزرگ با کيفيت 
سي پي يو قوي 
بدون هنگ و گير کاملاً روان
فقط صداش کمه
والا بقيه امکاناتش عاليه
نسخه اندرويدشم 4.1.1
و ."
1945	این مقدار در مقایسه با رقبای 15.6 اینچی دیگر در این بازه قیمتی،  میزان متوسطی محسوب می‌شود.
5021	آخر به کجا کشيده ميشه؟
2843	Xbox 360 Slim با ظرفیت های مختلفی به بازار عرضه شده است.
2487	رزولوشن این صفحه نمایش 1024×768 پیکسل می‌باشد که همانند آیپد مینی است.
2520	در کل، از نظر نرم افزاری نیز مشکل خاصی با این گوشی نخواهید داشت.
5288	کيفتش super amoled plus نيست.
1349	اما راز موفقیت این دوربین در ثبت لحظات ورزشی در چیست؟
4871	واقعاً محشره.
4623	در حالي که دوربين هاي کامپکت و همچنين hx100 داراي dpi 72 مي باشند که از لحاظ تعداد پيکسل و کيفيت عکس به پاي اين دوربين نمي رسند
390	چشمی الکترونیکی نیز مثل مدل پیشین است و در حالی که رزولوشن نه چندان بالای 201000 پیکسلی دارد،  100 درصد میدان دید را پوشش می دهد.
1362	یک راه دیگر استفاده از بند مخصوصی است که می توان دوربین را با آن به کلاه های ورزشی مخصوصی که معمولا دارای حفره های خالی تهویه هستند،  مثل کلاه دوچرخه سواری متصل کرد.
6030	و کسايي که وضع متوسطي داشتن با گوشي هاي اندرويدي بودن که تعدادشون هم بيشتر بود .2.سيستم عامل ios انحصاري مال شرکت Apple هست .
2834	اکنون شاید بتوان Xbox 360 Slim را برترین کنسول بازی موجود دانست مخصوصا با وجود Kinect Microsoft  اکنون لذت استفاده از بازیهای Xbox چند برابر شده است.
1873	) خاموش می‌شود و شما مجبورید دوباره گوشی را روشن کنید ولی با این قابلیت،  گوشی چون تشخیص می‌دهد که شما در حال تماشای صفحه نمایش هستید،  آن را روشن نگه می‌دارد.
