Keywords	Targets	Text	Value
[{'Position': ['7', '15'], 'Value': '+', 'Text': 'بهبودهای'}]	[]	یکی از بهبودهای رخ داده در این صفحه نمایش این است که در نمایشگر گوشی های پیشین،  رنگ‌ها غلظتی بیش از حد داشتند.	+1
[{'Position': ['87', '93'], 'Value': '+', 'Text': 'دلخواه'}]	[{'Position': ['94', '99'], 'Value': '', 'Text': 'تنظیم', 'RelationText': 'تنظیم رنگ', 'Opinions': [{'Position': ['87', '93'], 'Value': '+', 'Text': 'دلخواه'}]}]	در Galaxy S II برنامه‌ای وجود دارد که از طریق آن می‌توانید غلظت رنگ نمایشگر را به صورت دلخواه تنظیم کنید.	+1
[{'Position': ['65', '71'], 'Value': '+', 'Text': 'خودکار'}, {'Position': ['112', '123'], 'Value': '+', 'Text': 'کاملاً درست'}]	[{'Position': ['72', '77'], 'Value': '', 'Text': 'تنظیم', 'RelationText': 'تنظیم روشنایی', 'Opinions': [{'Position': ['65', '71'], 'Value': '+', 'Text': 'خودکار'}]}]	روشنایی نمایشگر به وسیله‌ی سنسور سنجش نور محیطی می‌تواند به صورت خودکار تنظیم شود و این کار تا جایی که ما دیدیم کاملاً درست انجام می‌گیرد.	+1
[{'Position': ['30', '43'], 'Value': '+', 'Text': 'بسیار قدرتمند'}, {'Position': ['104', '114'], 'Value': '+', 'Text': 'فوق\u200cالعاده'}]	[{'Position': ['19', '29'], 'Value': '', 'Text': 'پردازنده\u200cی', 'RelationText': 'پردازنده', 'Opinions': [{'Position': ['30', '43'], 'Value': '+', 'Text': 'بسیار قدرتمند'}, {'Position': ['104', '114'], 'Value': '+', 'Text': 'فوق\u200cالعاده'}]}]	در قلب Galaxy S II پردازنده‌ی بسیار قدرتمند ARM Cortex A9 با سرعت 1.2 گیگاهرتز قرار گرفته که در نوع خود فوق‌العاده است.	+2
[{'Position': ['40', '46'], 'Value': '+', 'Text': 'هوشمند'}]	[{'Position': ['31', '39'], 'Value': '', 'Text': 'گوشی\u200cهای', 'RelationText': 'گوشی', 'Opinions': [{'Position': ['40', '46'], 'Value': '+', 'Text': 'هوشمند'}]}]	درحقیقت Galaxy S II جزو نخستین گوشی‌های هوشمند با پردازنده‌ی دو هسته‌ای می‌باشد و در ادامه باید منتظر گوشی های بیشتری با چنین پردازنده هایی باشیم.	0
[{'Position': ['83', '89'], 'Value': '+', 'Text': 'ارتقاء'}]	[{'Position': ['42', '46'], 'Value': '', 'Text': 'سرعت', 'RelationText': 'سرعت', 'Opinions': [{'Position': ['76', '89'], 'Value': '+', 'Text': 'به\u200cشدت ارتقاء'}]}]	به خصوص به بکارگیری تکنولوژی دو هسته ای،  سرعت در عملکردهای چند وظیفه‌ای را به‌شدت ارتقاء بخشیده.	+1
[]	[]	این پردازنده با 1 گیگابایت حافظه‌ی RAM و پردازشگر گرافیکی مجزا همراه شده.	0
[{'Position': ['113', '117'], 'Value': '+', 'Text': 'قدرت'}, {'Position': ['118', '125'], 'Value': '+', 'Text': 'فراوانی'}, {'Position': ['17', '24'], 'Value': '', 'Text': 'بیشترین'}]	[]	این حافظه‌ی RAM، بیشترین مقداری است که تا کنون بر روی یک گوشی هوشمند قرار گرفته و پردازشگر گرافیکی هم توان تولید قدرت فراوانی دارد.	+1
[]	[]	چنین سخت‌افزارهایی باعث شده که ذره‌ای مکث و تأخیر در عملکردهای گوشی دیده نشود.	+1
[{'Position': ['147', '154'], 'Value': '+', 'Text': 'بی\u200cنظیر'}, {'Position': ['120', '128'], 'Value': '+', 'Text': 'پشتیبانی'}, {'Position': ['129', '135'], 'Value': '+', 'Text': 'می\u200cکند'}]	[]	این گوشی در نسخه هایی با حافظه‌ی داخلی 16 و 32 گیگابایت عرضه می‌شود و در از کارت حافظه‌ی Micro SD تا سقف 32 گیگابایت هم پشتیبانی می‌کند که تقریباً بی‌نظیر است.	+1
[{'Position': ['23', '31'], 'Value': '+', 'Text': 'قدرتمندی'}, {'Position': ['44', '58'], 'Value': '+', 'Text': 'کاملاً حرفه\u200cای'}, {'Position': ['61', '65'], 'Value': '+', 'Text': 'جذاب'}]	[{'Position': ['13', '22'], 'Value': '', 'Text': 'سخت\u200cافزار', 'RelationText': 'سخت\u200cافزار', 'Opinions': [{'Position': ['23', '31'], 'Value': '+', 'Text': 'قدرتمندی'}]}, {'Position': ['33', '43'], 'Value': '', 'Text': 'سیستم\u200cعامل', 'RelationText': 'سیستم\u200cعامل', 'Opinions': [{'Position': ['44', '58'], 'Value': '+', 'Text': 'کاملاً حرفه\u200cای'}, {'Position': ['61', '65'], 'Value': '+', 'Text': 'جذاب'}]}]	در کنار چنان سخت‌افزار قدرتمندی، سیستم‌عامل کاملاً حرفه‌ای و جذاب Android 2.3 با واسط کاربری TouchWiz 3.0 قرار دارد.	+2
[]	[]	Android 2.3 کاملا با سیستم عامل iOS شرکت اپل در رقابت است.	0
[{'Position': ['20', '36'], 'Value': '+', 'Text': 'واقعاً مثال\u200cزدنی'}]	[{'Position': ['0', '8'], 'Value': '', 'Text': 'پاسخگویی', 'RelationText': 'پاسخگویی', 'Opinions': [{'Position': ['20', '36'], 'Value': '+', 'Text': 'واقعاً مثال\u200cزدنی'}]}]	پاسخگویی عمومی گوشی واقعاً مثال‌زدنی ست.	+2
[]	[]	در هنگام اسکرول و کار کردن با گوشی،  واقعا گویی در بین منوها،  صفحات خانگی و برنامه‌ها پرواز می‌کنید!	+1
[{'Position': ['53', '58'], 'Value': '+', 'Text': 'روانی'}, {'Position': ['46', '50'], 'Value': '+', 'Text': 'سرعت'}]	[{'Position': ['24', '28'], 'Value': '', 'Text': 'گوشی', 'RelationText': 'گوشی', 'Opinions': [{'Position': ['53', '58'], 'Value': '+', 'Text': 'روانی'}, {'Position': ['46', '50'], 'Value': '+', 'Text': 'سرعت'}]}]	به نظر خودمان تا به حال گوشی آندرویدی با چنین سرعت و روانی را تجربه نکرده ایم.	+1
[{'Position': ['36', '45'], 'Value': '+', 'Text': 'می\u200cتوانید'}, {'Position': ['99', '105'], 'Value': '+', 'Text': 'دسترسی'}]	[]	با دسترسی به فروشگاه Android Market می‌توانید به هزاران برنامه، بازی و نرم افزار نوشته شده برای آن دسترسی پیدا کنید.	+1
[{'Position': ['21', '26'], 'Value': '-', 'Text': 'دعوای'}, {'Position': ['79', '86'], 'Value': '', 'Text': 'خبر\u200cساز'}]	[]	در این جا بد نیست به دعوای حقوقی شرکتهای اپل و سامسونگ که مدتی است در رسانه‌ها خبر‌ساز شده اند اشاره‌ای کنیم.	0
[{'Position': ['120', '125'], 'Value': '-', 'Text': 'شکایت'}, {'Position': ['151', '157'], 'Value': '-', 'Text': 'خسارات'}, {'Position': ['175', '179'], 'Value': '-', 'Text': 'تخلف'}]	[]	در سالهای اخیر اپل بارها از شرکت سامسونگ با ادعای کپی برداری پتنت های اپل و «ظاهر و حس»‌ای پد و تلفن همراه هوشمند آیفون شکایت کرده است و خواهان پرداخت خسارات مادی و معنوی این تخلف شده است.	-1
[{'Position': ['24', '31'], 'Value': '-', 'Text': 'اتهامات'}]	[]	و البته سامسونگ نیز این اتهامات رد کرده است.	0
[]	[]	اما آنچه که با قطعیت میتوان اشاره کرد این است که رقابت در این سطح بسیار نزدیک شده است و دیگر فاصله های تکنولوژیکی به اندازه سالهای پیش تعیین کننده نیستند.	0
[{'Position': ['6', '12'], 'Value': '+', 'Text': 'خلاقیت'}, {'Position': ['24', '32'], 'Value': '+', 'Text': 'مبتکرانه'}]	[]	و نقش خلاقیت و ایده‌های مبتکرانه کلیدی‌تر شده است.	+1
[]	[]	آیا شما یک طبیعت گرد هستید و یا به تازگی به یک شهر بزرگ سفر کرده اید؟	0
[]	[]	خوب کافی است که به برنامه‌ی Maps رجوع کنید تا بوسیله‌ی آن نقشه‌ی کامل تمام کره‌ی زمین در کف دستتان باشد و موقعیت دقیق محلی که هستید را بیابید.	0
[{'Position': ['4', '13'], 'Value': '+', 'Text': 'می\u200cتوانید'}]	[]	حتی می‌توانید مقصد را هم مشخص کنید و از برنامه بخواهید که مسیر را به شما نشان دهد!	+1
[{'Position': ['8', '17'], 'Value': '+', 'Text': 'می\u200cتوانید'}]	[]	شما حتی می‌توانید تصویر محل خود را به صورت واقعی و ماهواره‌ای مشاهده کنید!	+1
[]	[]	اما برای همه اینها نیاز به اتصال به اینترنت دارید.	0
[]	[]	آیا به نجوم علاقه دارید؟	0
[]	[]	با استفاده از برنامه‌ی Google Sky Map،  گوشی را به هر سوی آسمان که نشانه بروید نقشه‌ی زنده‌ی آن به همراه همه‌ی اجرام و اطلاعاتشان برای شما به نمایش در خواهد آمد!	0
[]	[]	آیا به انجام بازی های موبایل علاقه دارید؟	0
[{'Position': ['84', '95'], 'Value': '+', 'Text': 'کاملاً مهیج'}]	[]	پیش روی شما دریایی از انواع بازی هایی قرار خواهد داشت که در بین آن‌ها بازی‌های 3D و کاملاً مهیج و گرافیکی هم وجود دارد.	+1
[]	[]	این‌ها فقط نمونه‌ای از هزاران برنامه‌ی کاربردی و سرگرم کننده‌ی آندروید هستند و تقریبا از هر قشری،  چه دانشجو،  دانش آموز،  مدیر یک شرکت،  پزشک،  مهندس،  بازاریاب،  ورزشکار و هرچه که باشید،  برنامه هایی برای شما وجود دارد و Galaxy S II با سیستم عامل آندروید خود می‌تواند مورد نیاز شما باشد.	0
[]	[]	این گوشی از باتری لیتیوم یونی 1650 میلی آمپر بهره می‌برد.	0
[{'Position': ['42', '52'], 'Value': '+', 'Text': 'بسیار عالی'}]	[{'Position': ['12', '30'], 'Value': '', 'Text': 'سیستم مدیریت انرژی', 'RelationText': 'سیستم مدیریت انرژی', 'Opinions': [{'Position': ['42', '52'], 'Value': '+', 'Text': 'بسیار عالی'}]}]	به طور مشخص سیستم مدیریت انرژی کار خود را بسیار عالی انجام می‌دهد.	+2
[{'Position': ['32', '41'], 'Value': '+', 'Text': 'می\u200cتوانید'}]	[]	در استفاده های معمولی تا دو روز می‌توانید با یک بار شارژ باتری از آن استفاده کنید.	+1
[]	[]	از نظر شارژدهی بسیار شبیه به گوشی های HTC Incredible S و HTC Desire S می‌باشد.	0
[]	[]	همانطور که اشاره کردیم،  Galaxy S II مجهز به دوربین 8 مگاپیکسلی است.	0
[]	[]	در قسمت جلو نیز یک دوربین 2 مگاپیکسلی برای مکالمه‌ی تصویری دارد.	0
[{'Position': ['55', '61'], 'Value': '+', 'Text': 'بهترین'}]	[{'Position': ['62', '73'], 'Value': '', 'Text': 'دوربین\u200cهایی', 'RelationText': 'دوربین', 'Opinions': [{'Position': ['55', '61'], 'Value': '+', 'Text': 'بهترین'}]}]	از نظر کیفیت عکس های گرفته شده، دوربین این گوشی یکی از بهترین دوربین‌هایی است که بر روی گوشی های تلفن همراه مشاهده کرده ایم.	+2
[{'Position': ['20', '35'], 'Value': '+', 'Text': 'فوق\u200cالعاده شارپ'}, {'Position': ['38', '46'], 'Value': '+', 'Text': 'با\u200cکیفیت'}]	[{'Position': ['0', '7'], 'Value': '', 'Text': 'عکس\u200cهای', 'RelationText': 'عکس', 'Opinions': [{'Position': ['20', '35'], 'Value': '+', 'Text': 'فوق\u200cالعاده شارپ'}, {'Position': ['38', '46'], 'Value': '+', 'Text': 'با\u200cکیفیت'}]}]	عکس‌های 8 مگاپیکسلی فوق‌العاده شارپ و با‌کیفیت هستند.	+2
[]	[]	یک مود عکاسی ماکرو برای فوکوس کردن و گرفتن عکس سوژه های بسیار نزدیک بر روی این دوربین وجود دارد.	0
[{'Position': ['20', '38'], 'Value': '+', 'Text': 'فوق\u200cالعاده قدرتمند'}]	[{'Position': ['0', '8'], 'Value': '', 'Text': 'فلاش LED', 'RelationText': 'فلاش LED', 'Opinions': [{'Position': ['20', '38'], 'Value': '+', 'Text': 'فوق\u200cالعاده قدرتمند'}]}]	فلاش LED این دوربین فوق‌العاده قدرتمند است.	+2
[{'Position': ['123', '127'], 'Value': '+', 'Text': 'بهتر'}, {'Position': ['128', '132'], 'Value': '+', 'Text': 'بهره'}, {'Position': ['133', '139'], 'Value': '+', 'Text': 'می\u200cبرد'}]	[]	گاهی اوقات نیز می‌بینیم که برای فوکوس خودکار بر روی سوژه های مختلف این دوربین،  از فلاش برای پیدا کردن سوژه و کمک به فوکوس بهتر بهره می‌برد.	+1
[{'Position': ['37', '47'], 'Value': '+', 'Text': 'بسیار شارپ'}, {'Position': ['50', '58'], 'Value': '+', 'Text': 'با\u200cکیفیت'}]	[{'Position': ['20', '28'], 'Value': '', 'Text': 'فیلم\u200cهای', 'RelationText': 'فیلم', 'Opinions': [{'Position': ['37', '47'], 'Value': '+', 'Text': 'بسیار شارپ'}, {'Position': ['50', '58'], 'Value': '+', 'Text': 'با\u200cکیفیت'}]}]	از نظر ضبط ویدیویی، فیلم‌های ضبط شده بسیار شارپ و با‌کیفیت هستند.	+2
[{'Position': ['49', '53'], 'Value': '+', 'Text': 'روان'}]	[{'Position': ['37', '48'], 'Value': '', 'Text': 'فیلم\u200cبرداری', 'RelationText': 'فیلم\u200cبرداری', 'Opinions': [{'Position': ['49', '53'], 'Value': '+', 'Text': 'روان'}]}]	حتی در فیلم برداری 1080p Full HD نیز فیلم‌برداری روان و بدون هرگونه مشکل انجام می‌شود.	+1
[{'Position': ['33', '43'], 'Value': '+', 'Text': 'فوق\u200cالعاده'}]	[{'Position': ['18', '29'], 'Value': '', 'Text': 'فیلم\u200cبرداری', 'RelationText': 'فیلم\u200cبرداری', 'Opinions': [{'Position': ['33', '43'], 'Value': '+', 'Text': 'فوق\u200cالعاده'}]}, {'Position': ['0', '15'], 'Value': '', 'Text': 'سرعت عکس\u200cبرداری', 'RelationText': 'سرعت عکس\u200cبرداری', 'Opinions': [{'Position': ['33', '43'], 'Value': '+', 'Text': 'فوق\u200cالعاده'}]}]	سرعت عکس‌برداری و فیلم‌برداری هم فوق‌العاده است.	+2
[{'Position': ['13', '21'], 'Value': '+', 'Text': 'خیلی کمی'}]	[{'Position': ['8', '12'], 'Value': '', 'Text': 'زمان', 'RelationText': 'زمان', 'Opinions': [{'Position': ['13', '21'], 'Value': '+', 'Text': 'خیلی کمی'}]}]	در واقع زمان خیلی کمی برای گرفتن یک عکس و سپس عکس بعدی،  ورود و خروج به برنامه‌ی دوربین و سویچ بین مود دوربین عکاسی و دوربین فیلم برداری لازم است.	+1
[]	[]	همچنین یک برنامه نیز برای ویرایش عکس و فیلم بر روی آن وجود دارد.	0
[{'Position': ['53', '57'], 'Value': '+', 'Text': 'جالب'}]	[]	سامسونگ به کمک سنسور شتاب سنج،  بعضی کنترل های حرکتی جالب را برای این گوشی در نظر گرفته است.	+1
[]	[]	برای مثال وقتی گوشی را بر می‌گردانید تا نمایشگر آن به سمت زمین باشد،  به یک باره همه‌ی صداهای آن قطع می‌شود.	0
[]	[]	این صدا می‌تواند صدای یک مکالمه‌ی تلفنی و یا پخش مدیا باشد.	0
[{'Position': ['96', '102'], 'Value': '+', 'Text': 'کاربرد'}, {'Position': ['103', '107'], 'Value': '+', 'Text': 'دارد'}]	[]	یکی دیگر از آن‌ها Tilt Zoom به معنی کج کردن برای بزرگنمایی است که در مرورگر اینترنت و گالری عکس کاربرد دارد.	+1
[{'Position': ['4', '13'], 'Value': '+', 'Text': 'می\u200cتوانید'}]	[]	شما می‌توانید با کج کردن گوشی به یک طرف در آن  Zoom IN و یا Zoom Out کنید.	+1
[]	[]	وقتی شما دو انگشت خود را به صورت همزمان بر روی نمایشگر می‌گذارید منوی تنظیمات، حساسیت و دیگر ویژگی های آن ظاهر می‌شود.	0
[{'Position': ['13', '18'], 'Value': '+', 'Text': 'جالبی'}]	[{'Position': ['7', '12'], 'Value': '', 'Text': 'ویژگی', 'RelationText': 'ویژگی', 'Opinions': [{'Position': ['13', '18'], 'Value': '+', 'Text': 'جالبی'}]}]	این هم ویژگی جالبی است.	+1
[]	[]	آخرین کنترل حرکتی نیز مربوط به Panning یا حرکت در بین آیکون‌ها و صفحات خانگی است.	0
[]	[]	این حرکت هم می‌تواند با کج کردن دستگاه صورت گیرد.	0
[{'Position': ['58', '70'], 'Value': '+', 'Text': 'بسیار عالیست'}]	[{'Position': ['0', '13'], 'Value': '', 'Text': 'عملکرد مرورگر', 'RelationText': 'عملکرد مرورگر', 'Opinions': [{'Position': ['58', '70'], 'Value': '+', 'Text': 'بسیار عالیست'}]}]	عملکرد مرورگر اینترنت موجود بر روی این دستگاه از نظر سرعت بسیار عالیست.	+2
[{'Position': ['56', '60'], 'Value': '-', 'Text': 'بدون'}, {'Position': ['61', '66'], 'Value': '-', 'Text': 'خطاست'}]	[]	عمل Pinch too Zoom که با دو انگشت صورت می‌گیرد،  کاملاً بدون خطاست.	+1
[{'Position': ['52', '65'], 'Value': '+', 'Text': 'چشم به هم زدن'}]	[]	همچنین تغییر جهت نمایشگر به حالت عمودی و افقی در یک چشم به هم زدن انجام می‌گیرد.	+1
[{'Position': ['29', '37'], 'Value': '+', 'Text': 'پشتیبانی'}, {'Position': ['38', '44'], 'Value': '+', 'Text': 'می\u200cکند'}, {'Position': ['84', '95'], 'Value': '+', 'Text': 'کاملاً عالی'}]	[{'Position': ['96', '100'], 'Value': '', 'Text': 'اجرا', 'RelationText': 'اجرا', 'Opinions': [{'Position': ['84', '95'], 'Value': '+', 'Text': 'کاملاً عالی'}]}]	این مرورگر از Adobe Flash هم پشتیبانی می‌کند و محتوای آن از قبیل ویدیو و گرافیک نیز کاملاً عالی اجرا می‌شود.	+2
[{'Position': ['67', '77'], 'Value': '+', 'Text': 'فوق\u200cالعاده'}]	[{'Position': ['4', '18'], 'Value': '', 'Text': 'صفحه\u200cکلید لمسی', 'RelationText': 'صفحه\u200cکلید لمسی', 'Opinions': [{'Position': ['67', '77'], 'Value': '+', 'Text': 'فوق\u200cالعاده'}]}]	اما صفحه‌کلید لمسی یا همان صفحه کلید مجازی روی نمایشگر Galaxy S II فوق‌العاده است.	+2
[{'Position': ['38', '42'], 'Value': '+', 'Text': 'خوبی'}]	[{'Position': ['28', '37'], 'Value': '', 'Text': 'صفحه\u200cکلید', 'RelationText': 'صفحه\u200cکلید لمسی', 'Opinions': [{'Position': ['38', '42'], 'Value': '+', 'Text': 'خوبی'}]}]	بدین صورت که تا به حال چنین صفحه‌کلید خوبی را بر روی هیچ تلفن همراهی مشاهده نکرده بودیم.	+1
[{'Position': ['52', '56'], 'Value': '+', 'Text': 'بهتر'}]	[{'Position': ['0', '14'], 'Value': '', 'Text': 'سرعت تایپ\u200cکردن', 'RelationText': 'سرعت تایپ\u200cکردن', 'Opinions': [{'Position': ['52', '56'], 'Value': '+', 'Text': 'بهتر'}]}]	سرعت تایپ‌کردن ما با آن؛ از صفحه کلید هر گوشی دیگری بهتر بود.	+1
[{'Position': ['29', '33'], 'Value': '+', 'Text': 'جدید'}, {'Position': ['75', '84'], 'Value': '+', 'Text': 'می\u200cتوانید'}]	[]	بر روی این صفحه کلید یک کلید جدید Voice input وجود دارد که به محض فشردن آن می‌توانید صحبت کنید تا گوشی صحبت های شما را به صورت نوشته درآورد.	+1
[{'Position': ['107', '113'], 'Value': '+', 'Text': 'کاربرد'}, {'Position': ['114', '118'], 'Value': '+', 'Text': 'دارد'}]	[]	این ویژگی Voice to Speech در جاهای دیگر گوشی مثل جستجو در گوگل یا در مروگر برای نوشتن آدرس های اینترنتی هم کاربرد دارد.	+1
[{'Position': ['58', '71'], 'Value': '+', 'Text': 'خیره\u200cکننده\u200cای'}]	[{'Position': ['36', '44'], 'Value': '', 'Text': 'ویژگی\u200cها', 'RelationText': 'ویژگی', 'Opinions': [{'Position': ['59', '72'], 'Value': '+', 'Text': 'یره\u200cکننده\u200cای،'}]}, {'Position': ['47', '57'], 'Value': '', 'Text': 'فناوری\u200cهای', 'RelationText': 'فناوری', 'Opinions': [{'Position': ['58', '71'], 'Value': '+', 'Text': 'خیره\u200cکننده\u200cای'}]}]	به عنوان یک گوشی تلفن همراه با چنین ویژگی‌ها و فناوری‌های خیره‌کننده‌ای،  Galaxy S II گوشی آسانی برای جمع بندی و اظهار نظر است.	+1
[{'Position': ['10', '16'], 'Value': '+', 'Text': 'بهترین'}, {'Position': ['72', '80'], 'Value': '+', 'Text': 'می\u200cتواند'}, {'Position': ['81', '95'], 'Value': '+', 'Text': 'کاملاً کاربردی'}, {'Position': ['98', '104'], 'Value': '+', 'Text': 'کارآمد'}]	[{'Position': ['17', '21'], 'Value': '', 'Text': 'گوشی', 'RelationText': 'گوشی', 'Opinions': [{'Position': ['10', '16'], 'Value': '+', 'Text': 'بهترین'}, {'Position': ['81', '95'], 'Value': '+', 'Text': 'کاملاً کاربردی'}, {'Position': ['98', '104'], 'Value': '+', 'Text': 'کارآمد'}]}]	به نظر ما بهترین گوشی آندرویدی است که تا به حال دیده ایم و برای هر قشری می‌تواند کاملاً کاربردی و کارآمد باشد.	+2
[]	[]	از نظر طراحی،  این گوشی تغییرات زیادی نسبت به مدل پیشین خود نداشته است.	0
[]	[]	سامسونگ Galaxy S II دارای قطری در حدود 8.9 میلی متر است و در ضخیم‌ترین مکان هرگز این قطر از 1 سانتی متر تجاوز نمی‌کند.	0
[{'Position': ['35', '43'], 'Value': '+', 'Text': 'قدرتمندی'}, {'Position': ['76', '81'], 'Value': '+', 'Text': 'باریک'}, {'Position': ['108', '114'], 'Value': '+', 'Text': 'شاهکار'}]	[{'Position': ['24', '34'], 'Value': '', 'Text': 'سخت افزاری', 'RelationText': 'سخت افزار', 'Opinions': [{'Position': ['35', '43'], 'Value': '+', 'Text': 'قدرتمندی'}]}, {'Position': ['16', '23'], 'Value': '', 'Text': 'تجهیزات', 'RelationText': 'تجهیزات', 'Opinions': [{'Position': ['35', '43'], 'Value': '+', 'Text': 'قدرتمندی'}]}, {'Position': ['69', '75'], 'Value': '', 'Text': 'بدنه\u200cی', 'RelationText': 'بدنه', 'Opinions': [{'Position': ['76', '81'], 'Value': '+', 'Text': 'باریک'}]}]	با در نظر گرفتن تجهیزات سخت افزاری قدرتمندی که درون بدنه جای گرفته،  بدنه‌ی باریک Galaxy S II در نوع خود یک شاهکار مهندسی محسوب می‌شد.	+1
[]	[]	به همین دلیل سامسونگ به این طراحی دست نزده و مدل جدید خود را نیز با همان ابعاد ارائه نموده است.	0
[]	[]	از نظر باریکی؛ این گوشی را می‌توان با Sony Ericsson Xperia Arc مقایسه کرد.	0
[{'Position': ['73', '81'], 'Value': '+', 'Text': 'مقاوم\u200cتر'}, {'Position': ['109', '112'], 'Value': '+', 'Text': 'است'}]	[{'Position': ['0', '9'], 'Value': '', 'Text': 'کاور پشتی', 'RelationText': 'کاور پشتی', 'Opinions': [{'Position': ['73', '81'], 'Value': '+', 'Text': 'مقاوم\u200cتر'}]}]	کاور پشتی این گوشی به نظر از نظر مقاومت در برابر خراش و آسیب‌های احتمالی مقاوم‌تر از کاور پشتی Galaxy S اصلی است.	+1
[{'Position': ['29', '37'], 'Value': '-', 'Text': 'پلاستیکی'}, {'Position': ['43', '48'], 'Value': '-', 'Text': 'نباید'}]	[{'Position': ['22', '28'], 'Value': '', 'Text': 'ساختار', 'RelationText': 'ساختار', 'Opinions': [{'Position': ['29', '37'], 'Value': '-', 'Text': 'پلاستیکی'}]}]	با این حال با توجه به ساختار پلاستیکی آن،  نباید استحکامی فوق‌العاده را از آن انتظار داشته باشیم.	-1
[]	[]	فریم دور نمایشگر هم کاملا از پلاستیک ساخته شده و این بدنه‌ی پلاستیکی یکی از تفاوت‌های بارز بین این گوشی و گوشی‌های هوشمند ساخت HTC و یا آیفون است.	0
[{'Position': ['36', '39'], 'Value': '-', 'Text': 'ضعف'}, {'Position': ['40', '43'], 'Value': '', 'Text': 'جدی'}]	[]	موضوعی که از نظر بسیاری یکی از نقاط ضعف جدی این مدل به شمار می‌رود.	-1
[{'Position': ['140', '145'], 'Value': '-', 'Text': 'مایوس'}, {'Position': ['108', '112'], 'Value': '', 'Text': 'ممکن'}]	[]	وقتی این گوشی را برای اولین بار در دست می‌گیرید،  انتظار وزنی بیشتر و ساختاری فلزی و مستحکم‌تر را دارید،  و ممکن است در وهله اول کمی شما را مایوس کند.	-1
[{'Position': ['0', '3'], 'Value': '', 'Text': 'اما'}, {'Position': ['96', '100'], 'Value': '+', 'Text': 'خوبی'}]	[]	اما بعد از اینکه مدتی با آن کار می‌کنید،  می‌بینید که آن طور هم که قبلا به نظر می‌آمد نیست و حس خوبی با آن خواهید داشت.	+1
[{'Position': ['53', '65'], 'Value': '+', 'Text': 'فوق\u200cالعاده\u200cی'}, {'Position': ['121', '126'], 'Value': '+', 'Text': 'ضد خش'}, {'Position': ['129', '141'], 'Value': '+', 'Text': 'بسیار مستحکم'}, {'Position': ['121', '123'], 'Value': '-', 'Text': 'ضد'}, {'Position': ['124', '126'], 'Value': '-', 'Text': 'خش'}]	[{'Position': ['35', '42'], 'Value': '', 'Text': 'نمایشگر', 'RelationText': 'نمایشگر', 'Opinions': [{'Position': ['53', '65'], 'Value': '+', 'Text': 'فوق\u200cالعاده\u200cی'}]}, {'Position': ['114', '120'], 'Value': '', 'Text': 'شیشه\u200cی', 'RelationText': 'شیشه', 'Opinions': [{'Position': ['121', '126'], 'Value': '+', 'Text': 'ضد خش'}, {'Position': ['129', '141'], 'Value': '+', 'Text': 'بسیار مستحکم'}]}]	به قسمت جلوی گوشی که نگاه کنیم؛ با نمایشگر 4.3 اینچی فوق‌العاده‌ی Super AMOLED مواجه می‌شویم که سطح آن کاملا توسط شیشه‌ی ضد خش و بسیار مستحکم Gorilla Glass پوشیده شده است.	+2
[]	[]	در قسمت بالای نمایشگر،  سنسور سنجش نور محیطی و دوربین جلویی،  و در قسمت زیر نمایشگر دو دکمه‌ی لمسی آندرویدی دیده می‌شود.	0
[]	[]	دکمه مکالمه یا Home تنها برآمدگی قسمت شیشه‌ای و صیقلی جلوی گوشی است.	0
[{'Position': ['0', '6'], 'Value': '+', 'Text': 'مقاومت'}, {'Position': ['74', '80'], 'Value': '', 'Text': 'بالاتر'}, {'Position': ['81', '84'], 'Value': '+', 'Text': 'است'}]	[]	مقاومت آن در برابر جذب اثر انگشت و کثیف شدگی از استاندارد گوشی‌های هم رده بالاتر است.	+1
[]	[]	دکمه کنترل صدا و دکمه‌ی Power هر کدام در طرفین گوشی قرار دارند.	0
[]	[]	جک 3.5 میلی متری هدفون  نیز در لبه‌ی بالا و پورت micro USB در لبه‌ی پایینی گوشی جایگذاری شده‌اند.	0
[{'Position': ['90', '95'], 'Value': '-', 'Text': 'ندارد'}, {'Position': ['43', '52'], 'Value': '', 'Text': 'خیلی خلوت'}]	[]	بنابراین از نظر پورت‌ها و کنترل‌های فیزیکی خیلی خلوت است و حتی دکمه‌ی شاتر دوربین هم وجود ندارد.	-1
[{'Position': ['48', '58'], 'Value': '+', 'Text': 'بسیار خوبی'}, {'Position': ['77', '93'], 'Value': '+', 'Text': 'کاملا راضی کننده'}, {'Position': ['94', '97'], 'Value': '+', 'Text': 'است'}]	[{'Position': ['67', '76'], 'Value': '', 'Text': 'عملکردشان', 'RelationText': 'عملکرد کنترل\u200cها', 'Opinions': [{'Position': ['77', '93'], 'Value': '+', 'Text': 'کاملا راضی کننده'}]}]	در عوض همه‌ی کنترل‌های لمسی و غیر لمسی ارگونومی بسیار خوبی دارند و عملکردشان کاملا راضی کننده است.	+2
[{'Position': ['27', '39'], 'Value': '+', 'Text': 'کاملا عالیست'}]	[{'Position': ['0', '11'], 'Value': '', 'Text': 'حساسیت لمسی', 'RelationText': 'حساسیت لمسی', 'Opinions': [{'Position': ['27', '39'], 'Value': '+', 'Text': 'کاملا عالیست'}]}]	حساسیت لمسی خود نمایشگر هم کاملا عالیست.	+2
